Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
274,35,M,47.789,46.844,0.473,99.106,-201.001,0.144,0.749,5.188,1.517,2.262
275,35,M,31.081,30.586,0.248,123.569,-198.232,0.454,1.135,2.497,2.045,1.665
276,35,M,31.345,30.411,0.467,65.165,-189.54,0.236,0.81,3.435,1.967,1.813
277,35,M,47.295,45.681,0.807,56.606,-193.122,0.367,0.537,1.463,2.919,1.518
278,35,M,49.825,48.52,0.652,74.381,-197.611,0.573,0.491,0.857,1.83,2.395
279,35,M,30.657,29.96,0.348,86.033,-193.079,0.302,0.89,2.945,2.006,2.103
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,27.325,26.696,0.314,84.942,-191.355,0.229,0.864,3.766,1.028,1.747
282,35,M,25.643,24.812,0.416,59.712,-185.624,0.253,0.534,2.112,2.856,1.869
283,35,M,36.522,34.988,0.767,45.624,-186.628,0.52,0.693,1.332,3.926,2.267
